col2	long1	lat1	col3	long2	lat2	distance
SareSeedy	-15.099018	13.74713	Thies	-16.92566	14.791345	229
SareSeedy	-15.099018	13.74713	Bounkiling	-15.698502	13.039072	102
SareSeedy	-15.099018	13.74713	Besse	-16.36199	13.195759	150
SareSeedy	-15.099018	13.74713	Chogen	-16.008846	13.584186	100
SareSeedy	-15.099018	13.74713	DongoroBa	-15.294932	13.379913	46
SareSeedy	-15.099018	13.74713	SareSeedy	-15.099018	13.74713	0
SareSeedy	-15.099018	13.74713	Njayel	-14.023212	13.33612	125
SareSeedy	-15.099018	13.74713	SareWuro	-14.056502	13.543971	115
SareSeedy	-15.099018	13.74713	Basse	-14.219973	13.311182	107
SareSeedy	-15.099018	13.74713	Velingara	-14.107776	13.146263	126
SareSeedy	-15.099018	13.74713	Farafenni	-15.597754	13.572898	57
SareSeedy	-15.099018	13.74713	Serrekunda	-16.685126	13.440287	175
Njayel	-14.023212	13.33612	Brikama	-16.642965	13.274707	284
Njayel	-14.023212	13.33612	Thies	-16.92566	14.791345	352
Njayel	-14.023212	13.33612	Bounkiling	-15.698502	13.039072	184
Njayel	-14.023212	13.33612	Besse	-16.36199	13.195759	254
Njayel	-14.023212	13.33612	Chogen	-16.008846	13.584186	216
Njayel	-14.023212	13.33612	DongoroBa	-15.294932	13.379913	138
Njayel	-14.023212	13.33612	SareSeedy	-15.099018	13.74713	125
Njayel	-14.023212	13.33612	Njayel	-14.023212	13.33612	0
Njayel	-14.023212	13.33612	SareWuro	-14.056502	13.543971	23
Njayel	-14.023212	13.33612	Basse	-14.219973	13.311182	21
Njayel	-14.023212	13.33612	Velingara	-14.107776	13.146263	23
Njayel	-14.023212	13.33612	Farafenni	-15.597754	13.572898	172
Njayel	-14.023212	13.33612	Serrekunda	-16.685126	13.440287	288
SareWuro	-14.056502	13.543971	Brikama	-16.642965	13.274707	281
SareWuro	-14.056502	13.543971	Thies	-16.92566	14.791345	339
SareWuro	-14.056502	13.543971	Bounkiling	-15.698502	13.039072	186
SareWuro	-14.056502	13.543971	Besse	-16.36199	13.195759	252
SareWuro	-14.056502	13.543971	Chogen	-16.008846	13.584186	211
SareWuro	-14.056502	13.543971	DongoroBa	-15.294932	13.379913	135
SareWuro	-14.056502	13.543971	SareSeedy	-15.099018	13.74713	115
SareWuro	-14.056502	13.543971	Njayel	-14.023212	13.33612	23
SareWuro	-14.056502	13.543971	SareWuro	-14.056502	13.543971	0
SareWuro	-14.056502	13.543971	Basse	-14.219973	13.311182	31
SareWuro	-14.056502	13.543971	Velingara	-14.107776	13.146263	45
SareWuro	-14.056502	13.543971	Farafenni	-15.597754	13.572898	167
SareWuro	-14.056502	13.543971	Serrekunda	-16.685126	13.440287	284
Basse	-14.219973	13.311182	Brikama	-16.642965	13.274707	262
Basse	-14.219973	13.311182	Thies	-16.92566	14.791345	335
Basse	-14.219973	13.311182	Bounkiling	-15.698502	13.039072	163
Basse	-14.219973	13.311182	Besse	-16.36199	13.195759	232
Basse	-14.219973	13.311182	Chogen	-16.008846	13.584186	196
