latitude	longitude	Village
13.274707	-16.642965	Brikama
14.791345	-16.92566	Thies
13.039072	-15.698502	Bounkiling
13.195759	-16.36199	Besse
13.584186	-16.008846	Chogen
13.379913	-15.294932	DongoroBa
13.33612	-14.023212	Njayel
13.543971	-14.056502	SareWuro
13.311182	-14.219973	Basse
13.572898	-15.597754	Farafenni
13.440287	-16.685126	Serrekunda
